s1,12.397,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,399,30176
s1,12.391,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,299,66846
s2,12.603,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,399,30176
s2,12.602,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,299,66846
s1,13.956,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,0,0
s1,13.950,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,0,0
s2,14.142,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,0,0
s2,14.141,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,0,0
s1,15.457,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,0,0
s1,15.451,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,0,0
s2,15.654,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,0,0
s2,15.653,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,0,0
s1,17.012,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,0,0
s1,17.006,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,0,0
s2,17.199,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,0,0
s2,17.198,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,0,0
s1,18.532,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,0,0
s1,18.526,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,0,0
s2,18.825,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,0,0
s2,18.824,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,0,0
s1,20.166,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,0,0
s1,20.160,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,0,0
s2,20.355,399,30176,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,0,0
s2,20.354,299,66846,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,0,0
s1,21.669,521,39470,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,122,9294
s1,21.663,386,88814,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,87,21968
s2,21.845,521,39470,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,122,9294
s2,21.844,386,88814,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,87,21968
s1,23.156,749,56726,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,228,17256
s1,23.150,549,131046,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,163,42232
s2,23.341,749,56726,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,228,17256
s2,23.340,549,131046,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,163,42232
s1,24.679,749,56726,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,0,0
s1,24.673,549,131046,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,0,0
s2,24.885,749,56726,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,0,0
s2,24.884,549,131046,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,0,0
s1,26.268,749,56726,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,0,0
s1,26.262,549,131046,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,0,0
s2,26.466,749,56726,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,0,0
s2,26.465,549,131046,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,0,0
s1,27.850,749,56726,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,0,0
s1,27.844,549,131046,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,0,0
s2,28.088,749,56726,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,0,0
s2,28.087,549,131046,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,0,0
s1,29.485,749,56726,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,0,0
s1,29.479,549,131046,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,0,0
s2,29.674,749,56726,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:3,0,0
s2,29.673,549,131046,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:5,0,0
s1,31.114,749,56726,6e:95:15:c9:34:ac,72:d4:35:9d:b7:6c,,,,,output:4,0,0
s1,31.108,549,131046,72:d4:35:9d:b7:6c,6e:95:15:c9:34:ac,,,,,output:1,0,0
