SDFB,SDFP,SFE,RPF,LABEL
0.0,0.0,5,1.0,1
98.0,1.0,9,1.0,1
92.39528607504221,0.9428090415820634,13,1.0,1
3940461.9276443794,22646.254655071414,17,1.0,1
9140603.459201239,52532.12613106384,21,1.0,1
10396783.420822311,59751.551772024555,25,1.0,1
11340528.974983819,65175.38018045688,29,1.0,1
11723673.350999463,67377.3636763534,33,1.0,1
11934467.267925479,68588.82407728904,36,0.9714285714285714,1
12466254.279388612,71645.07276358346,39,0.9473684210526315,1
12416426.022028228,71358.70525248566,42,0.926829268292683,1
12747463.464023933,73261.21837566931,44,0.8837209302325582,1
12849860.39152235,73849.70593152581,46,0.8444444444444444,1
12936784.563590072,74349.2698193952,48,0.8085106382978723,1
12842195.60353001,73805.65495866525,50,0.7755102040816326,1
12885035.48512072,74051.86115657065,52,0.7450980392156863,1
12877305.11295366,74007.43382190897,54,0.7169811320754716,1
13010249.33431199,74771.48123980634,56,0.6909090909090909,1
12871910.068790171,73976.42824253916,58,0.6666666666666666,1
12930878.077921642,74315.32509820683,60,0.6440677966101694,1
12884677.705587672,74049.80605476777,62,0.6229508196721312,1
12866297.931924222,73944.1755417508,64,0.6031746031746031,1
12745236.786018318,73248.42217991524,66,0.5846153846153846,1
12763018.583193593,73350.61679716094,68,0.5671641791044776,1
12680289.375164941,72875.16200790087,70,0.5507246376811594,1
12603529.547096904,72434.01400642874,72,0.5352112676056338,1
12525067.753630083,71983.08460772631,74,0.5205479452054794,1
12449559.579153918,71549.13003426573,76,0.5066666666666667,1
12423161.872951327,71397.41948893438,78,0.4935064935064935,1
12333631.92963953,70882.88004823889,80,0.4810126582278481,1
12249123.41222713,70397.19937300899,82,0.4691358024691358,1
12171214.726299029,69949.44875783747,84,0.4578313253012048,1
12092707.301138444,69498.25711138772,86,0.4470588235294118,1
12012973.8221506,69040.01918156477,88,0.4367816091954023,1
11932164.531248584,68575.59842279772,90,0.42696629213483145,1
11858439.962810898,68151.89438797874,92,0.4175824175824176,1
11735633.542407986,67446.11086321103,94,0.40860215053763443,1
11700071.628779545,67241.73245172003,96,0.4,1
11589598.651289562,66606.83071717188,98,0.3917525773195876,1
11576522.59234244,66531.68138250457,100,0.3838383838383838,1
11469383.943905495,65915.9424531941,102,0.37623762376237624,1
11433375.84281182,65708.99972876535,104,0.36893203883495146,1
11330683.705468144,65118.81544901173,106,0.3619047619047619,1
11265858.310587877,64746.25605752296,108,0.35514018691588783,1
11180327.272492697,64254.698782792286,110,0.3486238532110092,1
11092426.533761078,63749.52255499848,112,0.34234234234234234,1
11043359.474109227,63467.528303007835,114,0.336283185840708,1
10967680.876753774,63032.59423395112,116,0.33043478260869563,1
10900754.032981027,62647.95757773745,118,0.3247863247863248,1
10886883.762685796,62568.243763121885,120,0.31932773109243695,1
10801246.49024213,62076.07588920498,122,0.3140495867768595,1
10775845.368169576,61930.092779338534,124,0.3089430894308943,1
10693202.518529259,61455.13422201924,126,0.304,1
10638950.942656245,61143.343900055275,128,0.2992125984251969,1
10590093.266224742,60862.552995210164,130,0.29457364341085274,1
10553897.227340978,60654.530136029345,132,0.2900763358778626,1
10517078.645349603,60442.9294364908,134,0.2857142857142857,1
10480476.16486834,60232.57069514487,136,0.2814814814814815,1
10437164.482125081,59983.653310470974,138,0.2773722627737226,1
10391223.740208728,59719.62637762213,140,0.2733812949640288,1
10339240.38886787,59420.87180221124,142,0.2695035460992908,1
10290992.078182215,59143.58297371204,144,0.26573426573426573,1
10244166.669153519,58874.47173607709,146,0.2620689655172414,1
10175453.506014174,58479.56879924417,148,0.2585034013605442,1
10129661.466550093,58216.39645288096,150,0.2550335570469799,1
10084505.917199375,57956.882091499654,152,0.25165562913907286,1
10037156.878689457,57684.761427722835,154,0.24836601307189543,1
9972945.58507958,57315.73128869924,156,0.24516129032258063,1
9931060.29401795,57075.01150439965,158,0.24203821656050956,1
9886473.631590864,56818.76659485166,160,0.2389937106918239,1
9842768.171017671,56567.58605882104,162,0.2360248447204969,1
9802100.026640378,56333.8613582237,164,0.2331288343558282,1
9742794.651669433,55993.026138123096,166,0.23030303030303031,1
9703490.282533588,55767.139222366364,168,0.2275449101796407,1
9666217.950341148,55552.93067611237,170,0.22485207100591717,1
9626551.306275766,55324.96171197516,172,0.2222222222222222,1
9588666.844721332,55107.23517218918,174,0.21965317919075145,1
