switch,duration,n_packets,n_bytes,dl_src,dl_dst,nw_src,nw_dst,tp_src,tp_dst,actions,packets_per_s,bytes_per_s
s2,48.341,46,4508,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,48.339,46,4508,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,49.159,47,4606,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,1,98
s2,49.157,47,4606,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,49.899,48,4704,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,1,98
s2,49.897,48,4704,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,50.610,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,1,98
s2,50.608,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,1,98
s2,51.338,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,51.336,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,52.103,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,52.101,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,52.809,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,52.807,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,53.479,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,53.477,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,54.157,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,54.155,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,54.846,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,54.844,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,55.563,49,4802,e6:51:70:3c:0f:62,26:8f:96:f5:1e:ae,,,,,output:1,0,0
s2,55.561,49,4802,26:8f:96:f5:1e:ae,e6:51:70:3c:0f:62,,,,,output:4,0,0
